date,age,dose1,dose2
2020-12-28,60-69,9152,0
2020-12-28,70-79,8645,0
2020-12-28,80+,37508,0
2021-01-04,60-69,34057,0
2021-01-04,70-79,19550,0
2021-01-04,80+,95750,0
2021-01-11,60-69,66731,244
2021-01-11,70-79,15024,266
2021-01-11,80+,66055,987
2021-01-18,60-69,35853,9169
2021-01-18,70-79,5245,7324
2021-01-18,80+,21653,34021
2021-01-25,60-69,11683,30606
2021-01-25,70-79,2214,17666
2021-01-25,80+,8501,86922
2021-02-01,60-69,8779,58934
2021-02-01,70-79,2229,13711
2021-02-01,80+,8449,61217
2021-02-08,60-69,20372,39611
2021-02-08,70-79,3504,6585
2021-02-08,80+,18027,26114
2021-02-15,60-69,27843,15464
2021-02-15,70-79,9521,2816
2021-02-15,80+,150442,11174
2021-02-22,60-69,29241,7198
2021-02-22,70-79,20128,2375
2021-02-22,80+,320013,9481
2021-03-01,60-69,19613,16523
2021-03-01,70-79,20477,3116
2021-03-01,80+,387456,17666
2021-03-08,60-69,9891,29971
2021-03-08,70-79,12507,9125
2021-03-08,80+,262154,144570
2021-03-15,60-69,5920,30817
2021-03-15,70-79,6926,18658
2021-03-15,80+,182266,287728
2021-03-22,60-69,153590,19068
2021-03-22,70-79,13423,19982
2021-03-22,80+,280639,375765
2021-03-29,60-69,357644,7635
2021-03-29,70-79,62723,10804
2021-03-29,80+,431132,222631
2021-04-05,60-69,652543,8068
2021-04-05,70-79,583096,8134
2021-04-05,80+,432171,200872
2021-04-12,60-69,568771,7835
2021-04-12,70-79,973829,10817
2021-04-12,80+,104494,259704
2021-04-19,60-69,431110,8369
2021-04-19,70-79,841996,42395
2021-04-19,80+,40255,445303
2021-04-26,60-69,546874,14030
2021-04-26,70-79,739294,563391
2021-04-26,80+,22510,457437
2021-05-03,60-69,1026741,22307
2021-05-03,70-79,349967,891849
2021-05-03,80+,14472,122132
2021-05-10,60-69,517284,29258
2021-05-10,70-79,106264,837926
2021-05-10,80+,11076,44487
2021-05-17,60-69,176444,110477
2021-05-17,70-79,45829,677477
2021-05-17,80+,7823,19812
2021-05-24,60-69,93105,320132
2021-05-24,70-79,26380,359741
2021-05-24,80+,5511,13140
2021-05-31,60-69,69871,291030
2021-05-31,70-79,14476,118312
2021-05-31,80+,4014,9660
2021-06-07,60-69,62616,157511
2021-06-07,70-79,10653,53164
2021-06-07,80+,3496,7142
2021-06-14,60-69,58175,223894
2021-06-14,70-79,7443,26923
2021-06-14,80+,2623,4795
2021-06-21,60-69,37358,578002
2021-06-21,70-79,5189,14141
2021-06-21,80+,1965,3452
2021-06-28,60-69,37628,677818
2021-06-28,70-79,5637,11218
2021-06-28,80+,2109,3067
2021-07-05,60-69,31331,812971
2021-07-05,70-79,4035,7429
2021-07-05,80+,1680,2069
2021-07-12,60-69,29169,543984
2021-07-12,70-79,3515,5310
2021-07-12,80+,1476,1610
2021-07-19,60-69,23203,314271
2021-07-19,70-79,3239,5566
2021-07-19,80+,1400,1903
2021-07-26,60-69,19271,171554
2021-07-26,70-79,2824,3577
2021-07-26,80+,1354,1422
2021-08-02,60-69,19619,70987
2021-08-02,70-79,2820,2617
2021-08-02,80+,1294,1119
2021-08-09,60-69,17982,40044
2021-08-09,70-79,2757,2468
2021-08-09,80+,1428,1145
2021-08-16,60-69,20274,25166
2021-08-16,70-79,2969,2273
2021-08-16,80+,1248,1028
2021-08-23,60-69,12215,24558
2021-08-23,70-79,2065,2502
2021-08-23,80+,1013,1132
2021-08-30,60-69,10767,21261
2021-08-30,70-79,1952,2628
2021-08-30,80+,916,1239
2021-09-06,60-69,9220,20004
2021-09-06,70-79,1893,2566
2021-09-06,80+,874,967
2021-09-13,60-69,6938,12511
2021-09-13,70-79,1586,2097
2021-09-13,80+,784,1023
2021-09-20,60-69,4911,11325
2021-09-20,70-79,1309,1880
2021-09-20,80+,708,1000
2021-09-27,60-69,3581,8169
2021-09-27,70-79,1013,1830
2021-09-27,80+,615,896
2021-10-04,60-69,2752,6126
2021-10-04,70-79,814,1484
2021-10-04,80+,516,795
2021-10-11,60-69,2134,4220
2021-10-11,70-79,645,1195
2021-10-11,80+,340,594
2021-10-18,60-69,2330,3824
2021-10-18,70-79,688,1146
2021-10-18,80+,379,669
2021-10-25,60-69,2102,3307
2021-10-25,70-79,731,981
2021-10-25,80+,397,763
2021-11-01,60-69,1640,2134
2021-11-01,70-79,664,885
2021-11-01,80+,448,728
2021-11-08,60-69,2054,2417
2021-11-08,70-79,971,1184
2021-11-08,80+,643,930
2021-11-15,60-69,3100,2687
2021-11-15,70-79,1491,1343
2021-11-15,80+,807,740
2021-11-22,60-69,4500,2674
2021-11-22,70-79,2061,998
2021-11-22,80+,931,622
2021-11-29,60-69,6904,4871
2021-11-29,70-79,2688,1204
2021-11-29,80+,1316,649
2021-12-06,60-69,4767,5076
2021-12-06,70-79,1595,934
2021-12-06,80+,749,483
2021-12-13,60-69,6587,7718
2021-12-13,70-79,2649,1509
2021-12-13,80+,1338,855
2021-12-20,60-69,4588,5973
2021-12-20,70-79,1903,1297
2021-12-20,80+,1076,827
2021-12-27,60-69,3370,4654
2021-12-27,70-79,1373,1108
2021-12-27,80+,764,562
2022-01-03,60-69,2331,4177
2022-01-03,70-79,1088,1206
2022-01-03,80+,543,612
2022-01-10,60-69,3138,5638
2022-01-10,70-79,1447,1852
2022-01-10,80+,940,1147
2022-01-17,60-69,2344,3783
2022-01-17,70-79,1061,1389
2022-01-17,80+,738,752
2022-01-24,60-69,1677,2756
2022-01-24,70-79,776,892
2022-01-24,80+,526,592
2022-01-31,60-69,997,2021
2022-01-31,70-79,453,752
2022-01-31,80+,301,459
2022-02-07,60-69,685,2021
2022-02-07,70-79,331,720
2022-02-07,80+,224,550
2022-02-14,60-69,503,1540
2022-02-14,70-79,230,571
2022-02-14,80+,154,473
2022-02-21,60-69,390,1060
2022-02-21,70-79,184,406
2022-02-21,80+,136,314
2022-02-28,60-69,241,621
2022-02-28,70-79,120,295
2022-02-28,80+,103,216
2022-03-07,60-69,235,482
2022-03-07,70-79,101,214
2022-03-07,80+,95,181
2022-03-14,60-69,203,348
2022-03-14,70-79,85,164
2022-03-14,80+,102,133
2022-03-21,60-69,171,284
2022-03-21,70-79,100,135
2022-03-21,80+,74,98
2022-03-28,60-69,166,243
2022-03-28,70-79,72,104
2022-03-28,80+,60,90
2022-04-04,60-69,162,212
2022-04-04,70-79,74,103
2022-04-04,80+,63,98
2022-04-11,60-69,92,113
2022-04-11,70-79,46,55
2022-04-11,80+,32,45
2022-04-18,60-69,133,172
2022-04-18,70-79,62,82
2022-04-18,80+,45,64
2022-04-25,60-69,152,157
2022-04-25,70-79,74,83
2022-04-25,80+,57,53
2022-05-02,60-69,107,133
2022-05-02,70-79,62,54
2022-05-02,80+,48,36
2022-05-09,60-69,130,124
2022-05-09,70-79,51,58
2022-05-09,80+,60,49
2022-05-16,60-69,136,140
2022-05-16,70-79,66,58
2022-05-16,80+,55,43
2022-05-23,60-69,113,133
2022-05-23,70-79,62,73
2022-05-23,80+,50,42
2022-05-30,60-69,96,112
2022-05-30,70-79,64,53
2022-05-30,80+,53,44
2022-06-06,60-69,93,110
2022-06-06,70-79,57,47
2022-06-06,80+,62,43
2022-06-13,60-69,100,130
2022-06-13,70-79,43,55
2022-06-13,80+,49,72
2022-06-20,60-69,85,96
2022-06-20,70-79,45,55
2022-06-20,80+,42,40
2022-06-27,60-69,102,109
2022-06-27,70-79,76,54
2022-06-27,80+,47,52
2022-07-04,60-69,91,96
2022-07-04,70-79,40,70
2022-07-04,80+,52,34
2022-07-11,60-69,107,95
2022-07-11,70-79,65,40
2022-07-11,80+,51,40
2022-07-18,60-69,107,91
2022-07-18,70-79,51,48
2022-07-18,80+,50,35
2022-07-25,60-69,75,105
2022-07-25,70-79,41,53
2022-07-25,80+,44,41
2022-08-01,60-69,53,93
2022-08-01,70-79,28,42
2022-08-01,80+,29,29
2022-08-08,60-69,45,67
2022-08-08,70-79,31,39
2022-08-08,80+,19,28
2022-08-15,60-69,37,43
2022-08-15,70-79,22,23
2022-08-15,80+,19,30
2022-08-22,60-69,46,63
2022-08-22,70-79,36,25
2022-08-22,80+,28,35
2022-08-29,60-69,33,50
2022-08-29,70-79,20,15
2022-08-29,80+,21,23
2022-09-05,60-69,35,45
2022-09-05,70-79,21,26
2022-09-05,80+,23,13
2022-09-12,60-69,38,54
2022-09-12,70-79,18,22
2022-09-12,80+,26,22
2022-09-19,60-69,42,30
2022-09-19,70-79,13,28
2022-09-19,80+,16,11
2022-09-26,60-69,45,43
2022-09-26,70-79,23,24
2022-09-26,80+,40,27
2022-10-03,60-69,21,17
2022-10-03,70-79,22,18
2022-10-03,80+,29,15
2022-10-10,60-69,22,19
2022-10-10,70-79,15,10
2022-10-10,80+,24,10
2022-10-17,60-69,29,32
2022-10-17,70-79,18,21
2022-10-17,80+,37,26
2022-10-24,60-69,39,31
2022-10-24,70-79,22,28
2022-10-24,80+,29,31
2022-10-31,60-69,17,21
2022-10-31,70-79,10,8
2022-10-31,80+,15,12
2022-11-07,60-69,30,31
2022-11-07,70-79,19,14
2022-11-07,80+,22,32
2022-11-14,60-69,29,13
2022-11-14,70-79,31,27
2022-11-14,80+,30,22
2022-11-21,60-69,30,23
2022-11-21,70-79,16,20
2022-11-21,80+,24,22
2022-11-28,60-69,24,23
2022-11-28,70-79,19,17
2022-11-28,80+,14,16
2022-12-05,60-69,14,17
2022-12-05,70-79,4,6
2022-12-05,80+,6,10
2022-12-12,60-69,22,31
2022-12-12,70-79,11,21
2022-12-12,80+,20,32
2022-12-19,60-69,21,23
2022-12-19,70-79,10,5
2022-12-19,80+,20,18
2022-12-26,60-69,10,12
2022-12-26,70-79,8,1
2022-12-26,80+,6,3
2023-01-02,60-69,3,11
2023-01-02,70-79,1,6
2023-01-02,80+,1,3
2023-01-09,60-69,32,25
2023-01-09,70-79,11,8
2023-01-09,80+,14,18
2023-01-16,60-69,10,12
2023-01-16,70-79,10,6
2023-01-16,80+,12,3
2023-01-23,60-69,11,5
2023-01-23,70-79,10,2
2023-01-23,80+,13,3
2023-01-30,60-69,3,15
2023-01-30,70-79,1,5
2023-01-30,80+,3,4
2023-02-06,60-69,8,11
2023-02-06,70-79,4,8
2023-02-06,80+,3,4
2023-02-13,60-69,9,5
2023-02-13,70-79,1,4
2023-02-13,80+,9,6
2023-02-20,60-69,4,5
2023-02-20,70-79,1,1
2023-02-20,80+,1,1
2023-02-27,60-69,0,4
2023-02-27,70-79,7,4
2023-02-27,80+,2,3
2023-03-06,60-69,3,5
2023-03-06,70-79,2,1
2023-03-06,80+,1,7
2023-03-13,60-69,7,2
2023-03-13,70-79,1,3
2023-03-13,80+,2,3
2023-03-20,60-69,1,0
2023-03-20,70-79,2,3
2023-03-20,80+,0,1
2023-03-27,60-69,4,1
2023-03-27,70-79,2,2
2023-03-27,80+,1,1
2023-04-03,60-69,2,3
2023-04-03,70-79,0,0
2023-04-03,80+,0,0
2023-04-10,60-69,1,2
2023-04-10,70-79,2,1
2023-04-10,80+,0,0
2023-04-17,60-69,0,3
2023-04-17,70-79,0,1
2023-04-17,80+,0,1
2023-04-24,60-69,0,1
2023-04-24,70-79,1,1
2023-04-24,80+,4,0
2023-05-01,60-69,0,0
2023-05-01,70-79,1,0
2023-05-01,80+,0,0
2023-05-08,60-69,0,1
2023-05-08,70-79,0,0
2023-05-08,80+,0,0
